state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,negative,pending,hospitalized,death,total,lastUpdateEt,checkTimeEt,dateModified,dateChecked,notes,totalTestResults
KY,248,1,1,1,1,A,4,3768,,,5,4016,3/26 17:00,3/27 09:43,2020-03-26T21:00:00Z,2020-03-27T13:43:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",4016
LA,2305,1,1,1,1,A,4,15724,,676,83,18029,3/26 15:00,3/26 14:48,2020-03-26T19:00:00Z,2020-03-26T18:48:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",18029
MA,2417,1,1,0,1,B,3,21204,,219,25,23621,3/26 12:30,3/26 16:10,2020-03-26T16:30:00Z,2020-03-26T20:10:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",23621
MD,580,1,0,0,0,D,1,94,,132,4,674,3/26 10:00,3/26 16:24,2020-03-26T14:00:00Z,2020-03-26T20:24:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",674
ME,155,1,1,1,1,A,4,3394,,,,3549,3/26 11:00,3/26 17:13,2020-03-26T15:00:00Z,2020-03-26T21:13:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",3549
MI,2856,1,1,0,1,B,3,6550,,,60,9406,3/26 11:00,3/26 16:31,2020-03-26T15:00:00Z,2020-03-26T20:31:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",9406
MN,346,1,1,1,1,A,4,12604,,41,2,12950,3/26 13:15,3/26 16:35,2020-03-26T17:15:00Z,2020-03-26T20:35:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",12950
MO,502,1,1,0,0,C,2,369,,,8,871,3/26 15:00,3/26 15:45,2020-03-26T19:00:00Z,2020-03-26T19:45:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",871
MS,485,1,1,1,0,B,3,2291,,150,6,2776,3/26 00:00,3/26 15:40,2020-03-26T04:00:00Z,2020-03-26T19:40:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",2776
MT,108,1,1,1,1,A,4,2590,,7,,2698,3/27 10:00,3/27 10:02,2020-03-27T14:00:00Z,2020-03-27T14:02:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",2698
NC,636,1,1,1,1,A,4,12274,,29,2,12910,3/26 12:36,3/26 17:00,2020-03-26T16:36:00Z,2020-03-26T21:00:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",12910
ND,58,1,1,1,0,B,3,2203,,11,0,2261,3/26 17:34,3/27 09:41,2020-03-26T21:34:00Z,2020-03-27T13:41:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",2261
NE,73,1,1,1,1,A,4,1584,,,0,1657,3/26 14:00,3/26 16:49,2020-03-26T18:00:00Z,2020-03-26T20:49:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",1657
NH,158,1,1,1,0,B,3,3395,592,25,1,4145,3/26 09:00,3/27 09:37,2020-03-26T13:00:00Z,2020-03-27T13:37:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",3553
NJ,6876,1,1,1,1,A,4,13661,,,81,20537,3/26 13:30,3/27 09:48,2020-03-26T17:30:00Z,2020-03-27T13:48:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",20537
NM,136,1,1,1,1,A,4,8377,,,1,8513,3/26 00:00,3/27 09:45,2020-03-26T04:00:00Z,2020-03-27T13:45:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",8513
NV,535,1,1,1,1,A,4,6161,,,10,6696,3/26 23:00,3/27 08:48,2020-03-27T03:00:00Z,2020-03-27T12:48:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",6696
NY,37258,1,1,1,1,A,4,84846,,6844,385,122104,3/26 16:59,3/26 15:47,2020-03-26T20:59:00Z,2020-03-26T19:47:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",122104
OH,867,1,1,1,1,B,4,16449,,223,15,17316,3/26 14:00,3/26 16:54,2020-03-26T18:00:00Z,2020-03-26T20:54:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",17316
OK,248,1,1,1,1,A,4,958,,86,7,1206,3/26 08:00,3/26 17:07,2020-03-26T12:00:00Z,2020-03-26T21:07:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",1206
OR,316,1,1,1,1,A,4,6953,,90,11,7269,3/26 21:46,3/27 08:43,2020-03-27T01:46:00Z,2020-03-27T12:43:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",7269
PA,1687,1,1,1,1,A,4,16441,,,16,18128,3/26 12:00,3/26 15:46,2020-03-26T16:00:00Z,2020-03-26T19:46:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",18128
RI,165,1,1,1,0,B,3,1366,138,,,1669,3/26 00:00,3/27 09:55,2020-03-26T04:00:00Z,2020-03-27T13:55:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",1531
SC,456,1,1,1,0,B,3,2307,,109,9,2763,3/26 11:00,3/26 17:06,2020-03-26T15:00:00Z,2020-03-26T21:06:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",2763
SD,46,1,1,1,1,A,4,1973,125,,1,2144,3/25 13:00,3/26 15:39,2020-03-25T17:00:00Z,2020-03-26T19:39:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",2019
TN,957,1,1,1,1,A,4,13952,,76,3,14909,3/26 15:00,3/26 15:20,2020-03-26T19:00:00Z,2020-03-26T19:20:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",14909
TX,1396,1,1,1,1,A,4,20028,,,18,21424,3/26 13:00,3/26 15:18,2020-03-26T17:00:00Z,2020-03-26T19:18:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",21424
UT,402,1,1,1,1,A,4,7308,,,1,7710,3/26 15:00,3/26 15:17,2020-03-26T19:00:00Z,2020-03-26T19:17:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",7710
VA,460,1,1,1,1,A,4,5729,,65,13,6189,3/26 00:00,3/27 08:06,2020-03-26T04:00:00Z,2020-03-27T12:06:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",6189
VT,158,1,1,1,1,A,4,1850,,,9,2008,3/26 13:00,3/26 15:16,2020-03-26T17:00:00Z,2020-03-26T19:16:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",2008
WA,3207,1,1,1,1,A,4,43173,,,147,46380,3/26 18:45,3/27 09:47,2020-03-26T22:45:00Z,2020-03-27T13:47:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",46380
WI,707,1,1,1,1,A,4,11583,,,8,12290,3/26 16:00,3/26 15:45,2020-03-26T20:00:00Z,2020-03-26T19:45:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",12290
WV,76,1,1,1,0,B,3,1779,43,1,0,1898,3/26 00:00,3/27 08:04,2020-03-26T04:00:00Z,2020-03-27T12:04:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",1855
WY,56,1,1,1,1,A,4,1049,,11,0,1105,3/26 21:00,3/27 09:46,2020-03-27T01:00:00Z,2020-03-27T13:46:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",1105
PR,64,1,1,1,1,A,4,377,335,,2,776,3/26 07:00,3/27 09:40,2020-03-26T11:00:00Z,2020-03-27T13:40:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",441
AS,0,,,,,,,,0,,0,0,3/27 00:00,3/27 08:15,2020-03-27T04:00:00Z,2020-03-27T12:15:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",0
GU,49,,,,,,,299,,11,1,348,3/27 07:00,3/27 09:27,2020-03-27T11:00:00Z,2020-03-27T13:27:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",348
MP,0,,,,,,,,,,0,0,3/26 18:30,3/27 08:50,2020-03-26T22:30:00Z,2020-03-27T12:50:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",0
VI,17,,,,,,,55,2,,0,74,3/26 20:30,3/27 09:54,2020-03-27T00:30:00Z,2020-03-27T13:54:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",72
